order_id,customer_id,burger_id,exclusions,extras,order_time
1,101,1,,,2021-01-01T18:05:02.000Z
2,101,1,,,2021-01-01T19:00:52.000Z
3,102,1,,,2021-01-02T23:51:23.000Z
3,102,2,,,2021-01-02T23:51:23.000Z
4,103,1,4,,2021-01-04T13:23:46.000Z
4,103,1,4,,2021-01-04T13:23:46.000Z
4,103,2,4,,2021-01-04T13:23:46.000Z
5,104,1,null,1,2021-01-08T21:00:29.000Z
6,101,2,null,null,2021-01-08T21:03:13.000Z
7,105,2,null,1,2021-01-08T21:20:29.000Z
8,102,1,null,null,2021-01-09T23:54:33.000Z
9,103,1,4,"1, 5",2021-01-10T11:22:59.000Z
10,104,1,null,null,2021-01-11T18:34:49.000Z
10,104,1,"2, 6","1, 4",2021-01-11T18:34:49.000Z
